video_id,track,clip,frame,yaw,pitch,roll,face_found
VID_ (1),1,4,7,67.51,-31.68,-39.53,1
VID_ (1),1,5,0,71.05,-44.91,-50.45,1
VID_ (1),1,5,1,69.82,-44.86,-51.6,1
VID_ (1),1,5,2,63.89,-37.33,-46.01,1
VID_ (1),1,5,3,67.51,-31.68,-39.53,1
VID_ (1),1,5,4,73.79,-33.92,-36.91,1
VID_ (1),1,5,5,66.49,-37.77,-40.14,1
VID_ (1),1,5,6,66.39,-28.85,-26.65,1
VID_ (1),1,5,7,63.74,-26.78,-27.33,1
VID_ (1),1,6,0,73.79,-33.92,-36.91,1
VID_ (1),1,6,1,66.49,-37.77,-40.14,1
VID_ (1),1,6,2,66.39,-28.85,-26.65,1
VID_ (1),1,6,3,63.74,-26.78,-27.33,1
VID_ (1),1,6,4,66.33,-27.98,-32.89,1
VID_ (1),1,6,5,67.6,-32.2,-36.21,1
VID_ (1),1,6,6,64.35,-27.99,-33.19,1
VID_ (1),1,6,7,,,,0
VID_ (1),1,7,0,66.33,-27.98,-32.89,1
VID_ (1),1,7,1,67.6,-32.2,-36.21,1
VID_ (1),1,7,2,64.35,-27.99,-33.19,1
VID_ (1),1,7,3,,,,0
VID_ (1),1,7,4,,,,0
VID_ (1),1,7,5,60.31,-28.3,-38.28,1
VID_ (1),1,7,6,,,,0
VID_ (1),1,7,7,71.04,-31.57,-37.23,1
VID_ (1),1,8,0,,,,0
VID_ (1),1,8,1,60.31,-28.3,-38.28,1
VID_ (1),1,8,2,,,,0
VID_ (1),1,8,3,71.04,-31.57,-37.23,1
VID_ (1),1,8,4,73.2,-35.96,-41.29,1
VID_ (1),1,8,5,64.35,-25.95,-30.22,1
VID_ (1),1,8,6,56.84,-23.48,-26.93,1
VID_ (1),1,8,7,,,,0
VID_ (1),1,9,0,73.2,-35.96,-41.29,1
VID_ (1),1,9,1,64.35,-25.95,-30.22,1
VID_ (1),1,9,2,56.84,-23.48,-26.93,1
VID_ (1),1,9,3,,,,0
VID_ (1),1,9,4,67.16,-28.16,-22.19,1
VID_ (1),1,9,5,,,,0
VID_ (1),1,9,6,,,,0
VID_ (1),1,9,7,,,,0
VID_ (1),1,10,0,67.16,-28.16,-22.19,1
VID_ (1),1,10,1,,,,0
VID_ (1),1,10,2,,,,0
VID_ (1),1,10,3,,,,0
VID_ (1),1,10,4,,,,0
VID_ (1),1,10,5,,,,0
VID_ (1),1,10,6,65.32,-43.33,-47.77,1
VID_ (1),1,10,7,63.67,-37.94,-40.41,1
VID_ (1),1,11,0,,,,0
VID_ (1),1,11,1,,,,0
VID_ (1),1,11,2,65.32,-43.33,-47.77,1
VID_ (1),1,11,3,63.67,-37.94,-40.41,1
VID_ (1),1,11,4,,,,0
VID_ (1),1,11,5,,,,0
VID_ (1),1,11,6,,,,0
VID_ (1),1,11,7,,,,0
VID_ (1),1,12,0,,,,0
VID_ (1),1,12,1,,,,0
VID_ (1),1,12,2,,,,0
VID_ (1),1,12,3,,,,0
VID_ (1),1,12,4,,,,0
VID_ (1),1,12,5,,,,0
VID_ (1),1,12,6,,,,0
VID_ (1),1,12,7,,,,0
VID_ (1),1,13,0,,,,0
VID_ (1),1,13,1,,,,0
VID_ (1),1,13,2,,,,0
VID_ (1),1,13,3,,,,0
VID_ (1),1,13,4,,,,0
VID_ (1),1,13,5,,,,0
VID_ (1),1,13,6,,,,0
VID_ (1),1,13,7,,,,0
VID_ (1),10,0,0,-38.42,1.48,-34.5,1
VID_ (1),10,0,1,,,,0
VID_ (1),10,0,2,,,,0
VID_ (1),10,0,3,,,,0
VID_ (1),10,0,4,,,,0
VID_ (1),10,0,5,,,,0
VID_ (1),10,0,6,,,,0
VID_ (1),10,0,7,,,,0
VID_ (1),10,1,0,,,,0
VID_ (1),10,1,1,,,,0
VID_ (1),10,1,2,,,,0
VID_ (1),10,1,3,,,,0
VID_ (1),10,1,4,,,,0
VID_ (1),10,1,5,,,,0
VID_ (1),10,1,6,,,,0
VID_ (1),10,1,7,,,,0
VID_ (1),10,2,0,,,,0
VID_ (1),10,2,1,,,,0
VID_ (1),10,2,2,,,,0
VID_ (1),10,2,3,,,,0
VID_ (1),10,2,4,,,,0
VID_ (1),10,2,5,,,,0
VID_ (1),10,2,6,,,,0
VID_ (1),10,2,7,,,,0
VID_ (1),10,3,0,,,,0
VID_ (1),10,3,1,,,,0
VID_ (1),10,3,2,,,,0
VID_ (1),10,3,3,,,,0
VID_ (1),10,3,4,,,,0
VID_ (1),10,3,5,,,,0
VID_ (1),10,3,6,,,,0
VID_ (1),10,3,7,,,,0
VID_ (1),10,4,0,,,,0
VID_ (1),10,4,1,,,,0
VID_ (1),10,4,2,,,,0
VID_ (1),10,4,3,,,,0
VID_ (1),10,4,4,,,,0
VID_ (1),10,4,5,,,,0
VID_ (1),10,4,6,-60.33,-33.02,45.02,1
VID_ (1),10,4,7,-59.24,-46.52,55.22,1
VID_ (1),10,5,0,,,,0
VID_ (1),10,5,1,,,,0
VID_ (1),10,5,2,-60.33,-33.02,45.02,1
VID_ (1),10,5,3,-59.24,-46.52,55.22,1
VID_ (1),10,5,4,-60.13,-36.7,44.09,1
